,url,category,day,month,year
104754,https://tuoitre.vn/chu-ve-con-2008-bon-nhom-vao-chung-ket-275375.htm,am-nhac,25,8,2008
104837,https://tuoitre.vn/quynh-anh-chinh-thuc-bonjour-vietnam-287970.htm,am-nhac,15,11,2008
126941,https://tuoitre.vn/cac-ca-si-anh-‘len-huong’-nho-giai-brit-award-244325.htm,am-nhac,24,2,2008
127125,https://tuoitre.vn/canh-mat-troi-va-khi-ta-yeu-nhau-doat-album-vang-2008-301084.htm,am-nhac,10,2,2009
127229,https://tuoitre.vn/giao-luu-cung-ho-bich-ngoc-va-nhac-si-thanh-tam-334907.htm,am-nhac,2,9,2009
127274,https://tuoitre.vn/chiem-nguong-nhung-ky-vat-cua-bao-tang-song-rock-‘n’-roll-352596.htm,am-nhac,11,12,2009
127394,https://tuoitre.vn/duc-tuan-tham-du-da-vu-thanh-vienna-410540.htm,am-nhac,12,11,2010
105641,https://tuoitre.vn/chang-le-chi-tai-hu-moi-khoai-nhac-te-ghe-440403.htm,am-nhac,1,6,2011
105645,https://tuoitre.vn/loi-dung-am-nhac-de-danh-bong-ten-tuoi-440806.htm,am-nhac,3,6,2011
105780,https://tuoitre.vn/thay-loi-muon-noi-tri-an-thay-co-464768.htm,am-nhac,12,11,2011
127465,https://tuoitre.vn/bai-hat-viet-2011tren-song-vtv6-442003.htm,am-nhac,12,6,2011
137594,https://tuoitre.vn/khi-mang-non-hat-nhu-len-dong-440664.htm,am-nhac,2,6,2011
144681,https://tuoitre.vn/lieu-nhac-te-ghe-co-tu-sinh-tu-diet-440113.htm,am-nhac,29,5,2011
127587,https://tuoitre.vn/dau-moc-trong-cuoc-doi-cua-paul-mccartney-497530.htm,am-nhac,18,6,2012
210582,https://tuoitre.vn/tiep-suc-cho-tinh-nguyen-vien-1335459.htm,nhip-song-tre,21,6,2017
210673,https://tuoitre.vn/hon-5000-nguoi-di-bo-tiep-suc-den-truong-1368727.htm,nhip-song-tre,14,8,2017
210703,https://tuoitre.vn/chu-kinh-nguyet-tim-cach-pha-bo-cam-ky-o-an-do-1375201.htm,nhip-song-tre,26,8,2017
210719,https://tuoitre.vn/nhung-hinh-xam-ke-chuyen-2017083114323957.htm,nhip-song-tre,1,9,2017
210745,https://tuoitre.vn/chien-thang-so-phan-buoc-chan-den-giang-duong-20170917230013127.htm,nhip-song-tre,17,9,2017
210751,https://tuoitre.vn/thu-vien-uoc-mo-cua-thieu-nhi-can-gio-20170916175556533.htm,nhip-song-tre,17,9,2017
210754,https://tuoitre.vn/bao-cuop-mat-nha-roi-phai-cho-em-no-hoc-20170919164139577.htm,nhip-song-tre,19,9,2017
210766,https://tuoitre.vn/nguoi-viet-dau-tien-vo-dich-cuoc-thi-marathon-100km-o-sa-pa-20170923171025576.htm,nhip-song-tre,23,9,2017
210776,https://tuoitre.vn/mang-trung-thu-den-voi-nhung-em-nho-thiet-thoi-20170927105734625.htm,nhip-song-tre,27,9,2017
210782,https://tuoitre.vn/xuat-khau-lao-dong-di-dau-lam-gi-de-co-thu-nhap-cao-20171031091900948.htm,nhip-song-tre,1,10,2017
210787,https://tuoitre.vn/giac-mo-tren-pho-20171003112602827.htm,nhip-song-tre,3,10,2017
210792,https://tuoitre.vn/di-uong-tra-sua-hem-20171006234450209.htm,nhip-song-tre,7,10,2017
210798,https://tuoitre.vn/nguoi-tre-nghi-gi-ve-chuyen-thu-khoa-chan-lon-20171011162553519.htm,nhip-song-tre,11,10,2017
210809,https://tuoitre.vn/sinh-vien-sai-gon-voi-nghe-xe-om-cong-nghe-20171014094813801.htm,nhip-song-tre,15,10,2017
210815,https://tuoitre.vn/festival-19-nhung-khoanh-khac-kho-quen-20171019110712944.htm,nhip-song-tre,19,10,2017
210820,https://tuoitre.vn/muc-luong-mo-uoc-cua-sinh-vien-sai-gon-khi-ra-truong-20171023102452065.htm,nhip-song-tre,23,10,2017
210834,https://tuoitre.vn/neu-duoc-ban-co-xam-minh-khong-20171030133440177.htm,nhip-song-tre,31,10,2017
210838,https://tuoitre.vn/sinh-vien-luot-facebook-tra-sua-va-khong-the-duc-20171102104630486.htm,nhip-song-tre,2,11,2017
210839,https://tuoitre.vn/kho-khan-khong-ngan-khat-khao-den-truong-20171030181610375.htm,nhip-song-tre,2,11,2017
210847,https://tuoitre.vn/mc-nguyen-khang-ke-ve-ky-niem-lam-tinh-nguyen-vien-apec-20171105145210985.htm,nhip-song-tre,6,11,2017
210858,https://tuoitre.vn/nhung-nguoi-linh-tre-trong-vung-bao-so-12-20171114160613216.htm,nhip-song-tre,14,11,2017
210863,https://tuoitre.vn/gioi-tre-sai-gon-noi-ve-song-thu-va-lam-me-don-than-20171111135856216.htm,nhip-song-tre,14,11,2017
210869,https://tuoitre.vn/sinh-vien-dhqg-lo-lang-ky-tuc-xa-that-thu-vi-mua-dong-2017111822214386.htm,nhip-song-tre,18,11,2017
