,url,category,day,month,year
7129,https://tuoitre.vn/cung-tto-goi-loi-tri-an-nhan-ngay-nha-giao-viet-nam-1004986.htm,giao-duc,20,11,2015
41124,https://tuoitre.vn/cong-bo-thong-tin-ky-thi-quoc-gia-tai-ngay-hoi-tuyen-sinh-698190.htm,giao-duc,13,1,2015
41134,https://tuoitre.vn/hoc-tro-qua-thieu-thong-tin-703260.htm,giao-duc,25,1,2015
41148,https://tuoitre.vn/dang-ky-du-thi-keo-dai-1-thang-713532.htm,giao-duc,26,2,2015
41149,https://tuoitre.vn/dang-ky-xet-tuyen-vao-truong-cong-an-713535.htm,giao-duc,26,2,2015
41150,https://tuoitre.vn/can-nhac-nguyen-vong-1-715010.htm,giao-duc,2,3,2015
41153,https://tuoitre.vn/​thi-sinh-hoi-cuc-khao-thi-tra-loi-716868.htm,giao-duc,6,3,2015
41156,https://tuoitre.vn/toi-di-hoc-cach-giup-do-714054.htm,giao-duc,10,3,2015
41157,https://tuoitre.vn/tu-van-tuyen-sinh-huong-nghiep-tai-quang-ngai-da-nang-va-ha-noi-718607.htm,giao-duc,10,3,2015
41166,https://tuoitre.vn/ban-khoan-nhu-cau-viec-lam-theo-nganh-hoc-720500.htm,giao-duc,14,3,2015
41171,https://tuoitre.vn/ngay-hoi-nhieu-mau-sac-720338.htm,giao-duc,14,3,2015
41172,https://tuoitre.vn/38-cum-thi-quoc-gia-2015-722354.htm,giao-duc,18,3,2015
41179,https://tuoitre.vn/can-nhac-chon-huong-cho-tuong-lai-723680.htm,giao-duc,22,3,2015
41181,https://tuoitre.vn/loi-cam-on-723683.htm,giao-duc,22,3,2015
41189,https://tuoitre.vn/dang-ki-du-thi-thpt-quoc-gia-den-het-304-725615.htm,giao-duc,26,3,2015
41195,https://tuoitre.vn/phan-chia-thi-sinh-theo-quan-huyen-729209.htm,giao-duc,3,4,2015
41205,https://tuoitre.vn/phai-vi-tuong-lai-doi-ngu-lao-dong-ky-thuat-vn-732368.htm,giao-duc,11,4,2015
41210,https://tuoitre.vn/tphcm-cong-bo-chi-tieu-tuyen-sinh-vao-lop-10-cac-he-truong-734432.htm,giao-duc,15,4,2015
