,url,category,day,month,year
68578,https://tuoitre.vn/vatican-cho-doi-moi-538135.htm,the-gioi,15,3,2013
62649,https://tuoitre.vn/iraq-ren-tieng-bom-9-vu-lien-tiep-49-nguoi-thiet-mang-575669.htm,the-gioi,21,10,2013
50323,https://tuoitre.vn/vn-la-tru-cot-trong-chinh-sach-huong-dong-cua-an-do-579001.htm,the-gioi,8,11,2013
24902,https://tuoitre.vn/ai-cap-mo-lai-bien-gioi-voi-dai-gaza-569774.htm,the-gioi,18,9,2013
25503,https://tuoitre.vn/libya-hon-40-nguoi-thiet-mang-vi-no-kho-vu-khi-582735.htm,the-gioi,29,11,2013
49240,https://tuoitre.vn/trung-quoc-truy-quet-thuc-pham-ban-533346.htm,the-gioi,5,2,2013
24463,https://tuoitre.vn/snowden-roi-san-bay-moscow-duoc-phep-ti-nan-tai-nga-1-nam-561593.htm,the-gioi,1,8,2013
24438,https://tuoitre.vn/ten-lua-syria-ban-chet-hang-chuc-tre-em-560896.htm,the-gioi,28,7,2013
62372,https://tuoitre.vn/nga-canh-bao-my-lap-lai-kich-ban-iraq-o-syria-553926.htm,the-gioi,15,6,2013
71730,https://tuoitre.vn/bom-lai-no-o-myanmar-mot-nguoi-chet-575102.htm,the-gioi,17,10,2013
23416,https://tuoitre.vn/ung-vien-bo-truong-quoc-phong-han-quoc-rut-lui-539221.htm,the-gioi,22,3,2013
25546,https://tuoitre.vn/obama-bat-binh-dang-de-doa-giac-mo-my-583773.htm,the-gioi,5,12,2013
24976,https://tuoitre.vn/nga---trieu-ket-noi-duong-xe-lua-570667.htm,the-gioi,24,9,2013
24460,https://tuoitre.vn/mo-hoc-vien-boi-loi-nang-tien-ca-561133.htm,the-gioi,30,7,2013
68766,https://tuoitre.vn/phe-doi-lap-syria-san-sang-tham-gia-hoi-nghi-geneva-570527.htm,the-gioi,23,9,2013
23103,https://tuoitre.vn/y-soi-chi-tieu-de-chong-tron-thue-532264.htm,the-gioi,29,1,2013
71655,https://tuoitre.vn/an---trung-hoa-hoan-547577.htm,the-gioi,10,5,2013
50055,https://tuoitre.vn/dong-minh-tong-thong-putin-dan-dau-bau-thi-truong-moscow-567999.htm,the-gioi,9,9,2013
49155,https://tuoitre.vn/nhat-phan-doi-tau-hai-giam-tq-vao-vung-bien-senkakudieu-ngu-528925.htm,the-gioi,8,1,2013
